"scenario_id","num_hosp","sample_size","balancing_mode","icc","pop_treat_effect","lambda","cens"
934,30,125401,2,0.1,-0.5,0.115,5
935,30,125401,2,0.1,-0.2,0.012,5
936,30,125401,2,0.1,-0.5,0.012,5
937,30,364200,2,0.3,-0.2,0.115,5
938,30,364200,2,0.3,-0.5,0.115,5
939,30,364200,2,0.3,-0.2,0.012,5
940,30,364200,2,0.3,-0.5,0.012,5
949,60,35700,2,0.05,-0.2,0.115,5
950,60,35700,2,0.05,-0.5,0.115,5
951,60,35700,2,0.05,-0.2,0.012,5
952,60,35700,2,0.05,-0.5,0.012,5
953,60,65400,2,0.1,-0.2,0.115,5
954,60,65400,2,0.1,-0.5,0.115,5
955,60,65400,2,0.1,-0.2,0.012,5
956,60,65400,2,0.1,-0.5,0.012,5
957,60,184200,2,0.3,-0.2,0.115,5
958,60,184200,2,0.3,-0.5,0.115,5
959,60,184200,2,0.3,-0.2,0.012,5
960,60,184200,2,0.3,-0.5,0.012,5
